Date,Commodity,SPGSCI,SPGSEN,SPGSPT,SPGSNE,SPGSLE,SPGSRE,SPGSUE,SPGSEM,SPGSFE,SPGSAL,SPGSAG,SPGSAC,SPGSCR,SPGSWT,SPGSGR,SPGSIN,SPGSLV,SPGSNL,SPGSXN,SPGSXP,SPGSXG,SPGSPM,SPGSSF,SPGSLXL,SPGCIS,SGESAS,SPGSGSL
2/7/22,C,5.62%,0.00%,0.00%,14.04%,10.21%,8.03%,11.82%,0.00%,0.00%,23.08%,31.10%,0.00%,0.00%,0.00%,40.28%,0.00%,0.00%,6.00%,5.81%,5.87%,0.00%,0.00%,0.000`00000000000%,11.53%,0.00%,39.85%,44.37%
2/7/22,CC,0.27%,0.00%,0.00%,0.68%,0.49%,0.39%,0.57%,0.00%,0.00%,1.11%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.28%,0.28%,0.00%,0.00%,6.57%,0.56%,0.00%,0.00%,0.00%
2/7/22,CL,23.10%,38.52%,40.73%,0.00%,10.49%,16.49%,6.07%,30.53%,46.72%,0.00%,0.00%,0.00%,54.91%,0.00%,0.00%,0.00%,0.00%,24.65%,23.88%,24.12%,45.36%,0.00%,0.00%,11.85%,0.00%,0.00%,0.00%
2/7/22,CT,1.39%,0.00%,0.00%,3.47%,2.52%,1.98%,2.92%,0.00%,0.00%,5.70%,7.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.48%,1.43%,1.45%,0.00%,0.00%,33.70%,2.85%,0.00%,0.00%,0.00%
2/7/22,FC,1.00%,0.00%,0.00%,2.51%,1.83%,1.43%,2.11%,0.00%,0.00%,4.13%,0.00%,23.25%,0.00%,0.00%,0.00%,0.00%,15.99%,0.00%,1.04%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2/7/22,GC,3.82%,0.00%,0.00%,9.54%,6.94%,5.45%,8.04%,5.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.08%,3.95%,0.00%,0.00%,90.10%,0.00%,7.84%,0.00%,0.00%,0.00%
2/7/22,HO,4.12%,6.86%,7.26%,0.00%,1.87%,2.94%,1.08%,5.44%,8.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.39%,4.25%,4.30%,8.08%,0.00%,0.00%,2.11%,0.00%,0.00%,0.00%
2/7/22,KC,1.02%,0.00%,0.00%,2.56%,1.86%,1.46%,2.15%,0.00%,0.00%,4.20%,5.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.09%,1.06%,1.07%,0.00%,0.00%,24.85%,2.10%,0.00%,0.00%,0.00%
2/7/22,KW,1.28%,0.00%,0.00%,3.21%,2.34%,1.84%,2.70%,0.00%,0.00%,5.28%,7.11%,0.00%,0.00%,29.51%,9.21%,0.00%,0.00%,1.37%,1.33%,1.34%,0.00%,0.00%,0.00%,2.64%,0.00%,0.00%,0.00%
2/7/22,LC,3.32%,0.00%,0.00%,8.29%,6.03%,4.74%,6.98%,0.00%,0.00%,13.62%,0.00%,76.75%,0.00%,0.00%,0.00%,0.00%,52.80%,0.00%,3.43%,3.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
